예습,과제,중간시험,기말시험,출석,총점,성적,F사유,재수강
18.7,17.6,6,3.5,10,55.8,C0,,
18.8,19.3,9,16,6.5,69.7,C+,,1
20,23.1,15,23,10,91.1,A+,,
18.3,20.5,4,4,8,54.7,C0,,
20,20.9,8,16,6.5,71.3,C+,,1
20,21.5,4,17,10,72.5,B0,,
19.7,22.2,6,17,10,75,B+,,
19.9,19.9,7,19.5,8,74.3,B0,,
20,23.9,16,18.5,10,88.3,A+,,
18.5,19.9,4,18,10,70.5,C+,,
19.9,23.3,13,24,6.5,86.8,A+,,
1.1,2.8,6,0,0,9.9,F,결시,
19.9,23.6,11,21.5,7,83,A+,,
15.2,20.8,10,15,1.5,62.4,C+,,
20,23.4,9,21.5,9,82.9,A+,,
19.4,23.3,6,14.5,10,73.2,B0,,
20,22.2,7,14.5,10,73.7,B0,,
10.4,5.6,8,4,0,27.9,F,성적미달,
13.7,7.1,6,4,10,40.8,C0,,
18.7,19.4,11,14,9,72.1,B0,,
18.5,18.3,6,4,5,51.8,C0,,1
20,21,5,21.5,10,77.5,B+,,
17,14.5,4,0,0,35.5,F,결시,1
18.3,19.7,12,16.5,5.5,71.9,B0,,
19.7,22.3,10,22.5,10,84.5,A+,,
18.4,24.1,13,21,6,82.5,A0,,1
20,20.2,1,5,8,54.2,C0,,
20,22.4,13,20,7.5,82.9,A0,,1
16.3,14.7,4,14,10,59,C0,,
19.1,11.4,10,8,10,58.6,C0,,
18.6,16.5,7,5,8,55,C0,,
20,22.3,7,21.5,10,80.8,A0,,
20,23.1,15,18,10,86.1,A+,,
18.1,15,7,17.5,2.5,60.1,C+,,
19.1,22.5,10,23.5,10,85.1,A+,,
19.6,20.1,4,7,10,60.7,C+,,
20,23,9,21,10,83,A+,,
19.7,20.9,12,21,10,83.6,A+,,
9.7,5.3,4,1,0,19.9,F,성적미달,
19.3,23.1,6,20,6.5,74.9,B+,,
0.9,0,4,0,0,4.9,F,결시,
18.8,21.2,6,18,10,74,B0,,
19.9,20.6,8,18,10,76.5,B+,,
20,22.8,12,25,6,85.8,A0,,1
20,21.7,9,15,10,75.7,B+,,
19,17.5,8,5.5,4,54,C0,,
18.7,19.5,8,23,10,79.3,A0,,
18.8,18.9,8,10,6,61.8,C+,,1
19.6,17,5,15,7,63.6,C+,,
19.9,20.5,2,20,8,70.5,C+,,
19.9,20.5,8,9,5,62.4,C+,,
20,21.2,8,20,10,79.2,B+,,
18.2,19.7,7,15.5,10,70.4,C+,,
20,23.2,5,14,4.5,66.6,C+,,
20,23,11,17.5,9.5,81,A0,,1
19.9,21,8,20,10,79,B+,,
15,4,7,14,0,40.1,C0,,1
19.9,18,13,17.5,10,78.4,B+,,
20,22.2,11,20,8.5,81.6,A0,,1
19.7,21.5,14,16.5,10,81.6,A0,,
14.9,11.7,8,15.5,4.5,54.5,C0,,1
19.3,23.2,11,20,8.5,82,A0,,
19.4,23,7,22.5,9,80.9,A0,,
