학년,문제1,문제2,문제3,문제4,문제5,총점
2,3,5,4,3,3,18
3,3,4,4,3,3,17
3,2.5,4.5,3,2,3,15
4,1.5,3,4,3,3,14.5
2,2.5,5,3,0.5,3,14
2,2,4,3,2,2.5,13.5
4,3,5,3,0,2.5,13.5
3,2.5,4,1.5,2,2.5,12.5
4,2,4.5,3,0.5,2.5,12.5
2,0,3.5,5,1.5,2,12
3,1.5,3,2,2.5,3,12
3,2,3,1,3,3,12
2,2,3,1.5,2.5,2.5,11.5
4,0,3,3.5,2.5,2.5,11.5
3,0,5,2,1.5,2.5,11
1,1.5,2,3,2.5,1.5,10.5
3,1.5,3,1.5,2,2.5,10.5
1,2,1,2.5,2,2.5,10
1,0,2,3,2.5,2.5,10
1,1.5,2,2.5,2,2,10
2,1,4,1.5,1,2.5,10
3,1.5,3,2,2,1.5,10
1,1.5,2,2.5,1,2.5,9.5
2,2,3,1.5,1,2,9.5
3,1,3,1.5,1,2,8.5
4,1.5,3,2,0.5,1,8
2,1.5,4,2,0,0,7.5
3,0,1,1.5,2,2.5,7
3,1.5,2,0.5,1,2,7
1,1,1,2.5,0,2,6.5
1,0,1.5,1,0.5,2,5
1,0,2,1,1,1,5
1,0,2,0,1,2,5
1,0,2,0.5,1,1,4.5
3,0,2,0,0.5,2,4.5
4,0.5,1,1,0,2,4.5
1,1,1,0,0,2,4
1,0,1,2,0,1,4
1,1,2,0,0,1,4
1,0.5,1,0.5,0.5,1,3.5
1,0,1,0,0,2.5,3.5
2,1,1,0,0.5,1,3.5
1,0,1,1,0,1,3
1,0,1,0,0,2,3
1,0,1,1,0,1,3
1,0,1,0,0,1,2
1,0,1,0,0,1,2
1,0,1,0,0,1,2
1,0,1,0,0,1,2
